Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE
hours,12,fine_tuned,0.04291857009132703,1.437498470919463,0.008177674065033594
hours,12,baseline,0.04434693548828364,1.7207247752138066,0.022329427301883698
hours,12,fine_tuned,0.039969332081576193,1.5615131663549318,0.02490759640932083
hours,12,baseline,0.04351125142226617,1.6581292894417121,0.024066502849260967
hours,12,fine_tuned,0.03393416535109282,1.282156757990883,0.01820816844701767
hours,12,baseline,0.045559269810716306,1.710684688111645,0.022738737364610035
job,12,fine_tuned,0.25118333952767513,0.9816658693409046,0.14894370237986246
job,12,baseline,0.2451078008564692,0.9606988258825512,0.1521118382612864
job,12,fine_tuned,0.19549827717599413,0.7772405210092804,0.09577125310897827
job,12,baseline,0.24743370607731832,0.9554206115427549,0.15238131086031595
job,12,fine_tuned,0.1778116098235524,0.6937428497913793,0.07118422786394756
job,12,baseline,0.2430861853417896,0.9289915418858367,0.1384851336479187
