"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","657.98","","","","2"
"2001-02","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","655.73","","","","2"
"2001-03","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","655.82","","","","2"
"2001-04","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","654.01","","","","2"
"2001-05","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","649.95","","","","2"
"2001-06","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","657.99","","","","2"
"2001-07","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","655.29","","","","2"
"2001-08","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","655.36","","","","2"
"2001-09","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","660.32","","","","2"
"2001-10","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","660.88","","","","2"
"2001-11","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","659.48","","","","2"
"2001-12","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","661.41","","","","2"
"2002-01","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","664.03","","","","2"
"2002-02","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","662.51","","","","2"
"2002-03","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","666.79","","","","2"
"2002-04","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","674.49","","","","2"
"2002-05","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","669.53","","","","2"
"2002-06","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","671.55","","","","2"
"2002-07","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","675.32","","","","2"
"2002-08","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","668.09","","","","2"
"2002-09","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","674.71","","","","2"
"2002-10","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","679.20","","","","2"
"2002-11","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","680.15","","","","2"
"2002-12","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","686.13","","","","2"
"2003-01","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","681.39","","","","2"
"2003-02","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","690.39","","","","2"
"2003-03","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","682.82","","","","2"
"2003-04","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","686.86","","","","2"
"2003-05","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","683.54","","","","2"
"2003-06","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","692.57","","","","2"
"2003-07","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","688.91","","","","2"
"2003-08","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","690.26","","","","2"
"2003-09","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","698.29","","","","2"
"2003-10","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","696.64","","","","2"
"2003-11","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","699.74","","","","2"
"2003-12","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","699.56","","","","2"
"2004-01","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","702.70","","","","2"
"2004-02","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","705.85","","","","2"
"2004-03","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","705.74","","","","2"
"2004-04","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","704.76","","","","2"
"2004-05","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","709.16","","","","2"
"2004-06","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","707.14","","","","2"
"2004-07","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","706.08","","","","2"
"2004-08","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","707.46","","","","2"
"2004-09","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","711.54","","","","2"
"2004-10","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","711.62","","","","2"
"2004-11","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","716.37","","","","2"
"2004-12","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","720.55","","","","2"
"2005-01","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","725.85","","","","2"
"2005-02","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","736.55","","","","2"
"2005-03","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","725.46","","","","2"
"2005-04","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","730.06","","","","2"
"2005-05","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","732.56","","","","2"
"2005-06","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","736.98","","","","2"
"2005-07","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","732.72","","","","2"
"2005-08","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","737.25","","","","2"
"2005-09","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","750.13","","","","2"
"2005-10","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1558664","1.1.1.2","744.88","","","","2"
