"REF_DATE","GEO","DGUID","Type of employee","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12560806","","","","0"
"2001-02","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12762522","","","","0"
"2001-03","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12740937","","","","0"
"2001-04","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12819375","","","","0"
"2001-05","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13162931","","","","0"
"2001-06","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13377370","","","","0"
"2001-07","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13044963","","","","0"
"2001-08","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12927375","","","","0"
"2001-09","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13034382","","","","0"
"2001-10","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13079539","","","","0"
"2001-11","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12996077","","","","0"
"2001-12","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13042893","","","","0"
"2002-01","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12635770","","","","0"
"2002-02","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12811060","","","","0"
"2002-03","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12827467","","","","0"
"2002-04","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","12927817","","","","0"
"2002-05","Canada","2021A000011124","All employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v1556538","1.1.1","13258231","","","","0"
