REF_DATE,GEO,DGUID,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2001-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2001-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.4,,,,1
2001-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2001-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2001-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.4,,,,1
2001-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.1,,,,1
2001-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2001-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2001-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2001-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2001-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.1,,,,1
2002-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,,,,1
2002-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,,,,1
2002-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2002-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,,,,1
2002-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2002-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2002-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2002-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2002-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
