REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015-04-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,483190.0,A,,,0
2015-05-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,443320.0,A,,,0
2015-06-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,411800.0,A,,,0
2015-07-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,372065.0,A,,,0
2015-08-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,376740.0,A,,,0
2015-09-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,459075.0,A,,,0
2015-10-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,380920.0,A,,,0
2015-11-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,373055.0,A,,,0
2015-12-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,301825.0,A,,,0
2016-01-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,304670.0,A,,,0
2016-02-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,293980.0,A,,,0
2016-03-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,362480.0,A,,,0
2016-04-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,382040.0,A,,,0
2016-05-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,398750.0,A,,,0
2016-06-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,391385.0,A,,,0
2016-07-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,370640.0,A,,,0
2016-08-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,401420.0,A,,,0
2016-09-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,418410.0,A,,,0
2016-10-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,393635.0,A,,,0
2016-11-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,378500.0,A,,,0
2016-12-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,339370.0,A,,,0
2017-01-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,345040.0,A,,,0
2017-02-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,359440.0,A,,,0
2017-03-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,436175.0,A,,,0
2017-04-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,465850.0,A,,,0
2017-05-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,464775.0,A,,,0
2017-06-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,434215.0,A,,,0
2017-07-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,432725.0,A,,,0
2017-08-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,446430.0,A,,,0
2017-09-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,516680.0,A,,,0
2017-10-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,483280.0,A,,,0
2017-11-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,492045.0,A,,,0
2017-12-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,413715.0,A,,,0
2018-01-01,Canada,2016A000011124,"Total, all industries",Job vacancies,Number,223,units,0,v1212389466,1.1.1,420720.0,A,,,0
