Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp_h,6,fine_tuned,0.014909547838297758,0.6995473993301545,0.014909547838297758,
emp_h,6,fine_tuned,0.011161009019071405,0.5243219332709798,0.011161009019071405,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.013591144572604786,0.6381835763804253,0.013591144572604786,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.017251049930399113,0.8091761117357019,0.017251049930399113,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.01497082141312686,0.7019951890384488,0.01497082141312686,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.016864562576467342,0.791192992372532,0.016864562576467342,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.016827653754841198,0.7898116386942896,0.016827653754841198,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.01529911295934157,0.7175583189488085,0.01529911295934157,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.017461802471767773,0.8199544075095169,0.017461802471767773,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.011318257586522535,0.5313686144233996,0.011318257586522535,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]"
emp_h,6,fine_tuned,0.022111407735131004,1.0377867274206236,0.022111407735131004,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]"
emp_h,6,fine_tuned,0.0165193649855527,0.7758212740573098,0.0165193649855527,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]"
emp_h,6,fine_tuned,0.022623557936061512,1.0620960000030881,0.022623557936061512,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
emp_h,6,fine_tuned,0.013280636884949425,0.6245628184188182,0.013280636884949425,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.021400362253189087,1.0057635675541168,0.021400362253189087,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.01848263090307062,0.8676669377907954,0.01848263090307062,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.02291405742818659,1.0753170723243726,0.02291405742818659,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.015580369667573408,0.7310769907263422,0.015580369667573408,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.014223017475821755,0.6667713538561069,0.014223017475821755,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.016492434523322365,0.7736446507754603,0.016492434523322365,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]"
emp_h,6,fine_tuned,0.012598412958058443,0.5911501015199918,0.012598412958058443,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]"
emp_h,6,fine_tuned,0.015343362634832209,0.7206692131116864,0.015343362634832209,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]"
emp_h,6,fine_tuned,0.019018366932868958,0.8923549318864966,0.019018366932868958,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]"
emp_h,6,fine_tuned,0.015082100575620478,0.7077029005086922,0.015082100575620478,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
