Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp,6,baseline,0.08751785653558646,3.3523671498948393,0.11078186468644576,
emp,6,baseline,0.08679165713714831,3.325892458100968,0.11327761953527277,[0]
emp,6,baseline,0.08916234755606363,3.3907501502381585,0.11083651672710072,"[0, 1]"
emp,6,baseline,0.08736028364210419,3.3568975838630783,0.11166726459156383,"[0, 2]"
emp,6,baseline,0.0873222089175022,3.3543630549277395,0.11442992903969505,"[0, 3]"
emp,6,baseline,0.08726959054668744,3.3303985388565684,0.10710571028969505,"[0, 4]"
emp,6,baseline,0.08796261341282814,3.3511620627980805,0.1124111305583607,"[0, 5]"
emp,6,baseline,0.0888898478764476,3.404267568854509,0.11539237065748735,"[0, 6]"
emp,6,baseline,0.0864910234443166,3.31355952079986,0.11302020333030006,"[0, 7]"
emp,6,baseline,0.08664275299419057,3.346328019470375,0.11122823845256459,"[0, 7, 8]"
emp,6,baseline,0.08488631005765813,3.2862943933207434,0.11270719224756415,"[0, 7, 9]"
emp,6,baseline,0.08676760937228349,3.3311674494656707,0.10992158542979848,"[0, 7, 9, 10]"
emp,6,baseline,0.08735973241202759,3.3486349750858877,0.11559334668246182,"[0, 7, 9, 11]"
