Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp,6,baseline,0.08714223686944356,3.3635225439061442,0.1120231801813299,
emp,6,baseline,0.08756765582118974,3.3527074763688205,0.11321904442527077,[0]
emp,6,baseline,0.08631229417567904,3.349256569230493,0.11302535100416704,"[0, 1]"
emp,6,baseline,0.08622342477919477,3.33636244408268,0.11481874639337714,"[0, 1, 2]"
emp,6,baseline,0.08759051256559112,3.3636207065953805,0.11322594772685658,"[0, 1, 2, 3]"
emp,6,baseline,0.08652102021556914,3.3199085545408153,0.10873259197581898,"[0, 1, 2, 4]"
emp,6,baseline,0.08592600838252991,3.3106889504431933,0.1110266772183505,"[0, 1, 2, 5]"
emp,6,baseline,0.08688106071768385,3.33040071619482,0.11276789145036177,"[0, 1, 2, 5, 6]"
emp,6,baseline,0.08588863435116682,3.325080978338272,0.1095257889140736,"[0, 1, 2, 5, 7]"
emp,6,baseline,0.08732131157409061,3.3424877763956977,0.11391379616477272,"[0, 1, 2, 5, 7, 8]"
emp,6,baseline,0.08719275203166586,3.367003141848363,0.1112165234305642,"[0, 1, 2, 5, 7, 9]"
emp,6,baseline,0.08713118449756592,3.3347969090987384,0.11178855462507768,"[0, 1, 2, 5, 7, 10]"
emp,6,baseline,0.08700520206581464,3.329451257706545,0.11206327785145152,"[0, 1, 2, 5, 7, 11]"
